"","BE-Busbar_1","BE-Busbar_2","BE-Busbar_3","BE-Busbar_4","BE-Busbar_6"
"BE-Busbar_1","(7.0E-6, 3.46E-4)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(-0.0, -0.0)"
"BE-Busbar_2","(0.0, 0.0)","(0.0017363292873547025, -0.029104051586292132)","(-0.0016490762009349494, 0.02914646308629213)","(0.0, 0.0)","(0.0, 0.0)"
"BE-Busbar_3","(0.0, 0.0)","(-0.001026623302127324, 0.014009274351535655)","(0.011692741132376864, -0.1022900244062648)","(0.0, 0.0)","(-0.0065955005462989226, 0.0892884162757168)"
"BE-Busbar_4","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.003082953007511504, -0.1711607874372536)","(-0.0030656235075115037, 0.1710777535372536)"
"BE-Busbar_6","(-0.0, -0.0)","(0.0, 0.0)","(-0.0065955005462989226, 0.0892884162757168)","(-0.0030656235075115037, 0.1710777535372536)","(0.02620737917364513, -0.2282181871840448)"
